,,,,,,,,,Integrated Y1,Integrated Y2
,,,,,,,,,"Integrate of H x=(-21.8409,-0.0009) Area = 6.25841","Integrate of I x=(-21.8409,-0.0009) Area = -16.0513"
-21.8409,0,0,0,0,0,0,0,0,0,0
-21.8269,0,0,0,0,0,0,0,0,0,0
-21.8119,0,0,0,0,0,0,0,0,0,0
-21.7979,0,0,0,0,0,0,0,0,0,0
-21.7839,0,0,0,0,0,0,0,0,0,0
-21.7699,0,0,0,0,0,0,0,0,0,0
-21.7549,0,0,0,0,0,0,0,0,0,0
-21.7409,0,0,0,0,0,0,0,0,0,0
-21.7269,0,0,0,0,0,0,0,0,0,0
-21.7129,0,0,0,0,0,0,0,0,0,0
-21.6979,0,0,0,0,0,0,0,0,0,0
-21.6839,0,0,0,0,0,0,0,0,0,0
-21.6699,0,0,0,0,0,0,0,0,0,0
-21.6559,0,0,0,0,0,0,0,0,0,0
-21.6409,0,0,0,0,0,0,0,0,0,0
-21.6269,0,0,0,0,0,0,0,0,0,0
-21.6129,0,0,0,0,0,0,0,0,0,0
-21.5989,0,0,0,0,0,0,0,0,0,0
-21.5839,0,0,0,0,0,0,0,0,0,0
-21.5699,0,0,0,0,0,0,0,0,0,0
-21.5559,0,0,0,0,0,0,0,0,0,0
-21.5419,0,0,0,0,0,0,0,0,0,0
-21.5269,0,0,0,0,0,0,0,0,0,0
-21.5129,0,0,0,0,0,0,0,0,0,0
-21.4989,0,0,0,0,0,0,0,0,0,0
-21.4849,0,0,0,0,0,0,0,0,0,0
-21.4699,0,0,0,0,0,0,0,0,0,0
-21.4559,0,0,0,0,0,0,0,0,0,0
-21.4419,0,0,0,0,0,0,0,0,0,0
-21.4279,0,0,0,0,0,0,0,0,0,0
-21.4129,0,0,0,0,0,0,0,0,0,0
-21.3989,0,0,0,0,0,0,0,0,0,0
-21.3849,0,0,0,0,0,0,0,0,0,0
-21.3709,0,0,0,0,0,0,0,0,0,0
-21.3559,0,-1.441E-4,0,-4.624E-5,0,-4.34E-5,4.34E-5,-9.2684606E-4,3.25500000000012E-7,-6.95134545000026E-6
-21.3419,1.797E-4,-5.316E-5,5.49E-5,-1.709E-5,5.491E-5,-1.601E-5,7.092E-5,-0.001513567548,1.12573999999998E-6,-2.40342407059995E-5
-21.3279,2.75E-5,-3.02E-5,8.4E-6,-9.69E-6,8.4E-6,-9.09E-6,1.749E-5,-3.73024971E-4,1.74460999999995E-6,-3.72403883389989E-5
-21.3139,3.171E-5,-3.482E-5,9.69E-6,-1.118E-5,9.69E-6,-1.048E-5,2.017E-5,-4.29901363E-4,2.00822999999993E-6,-4.28608726769986E-5
-21.2989,3.656E-5,-4.014E-5,1.117E-5,-1.289E-5,1.117E-5,-1.209E-5,2.326E-5,-4.95412414E-4,2.33395499999995E-6,-4.98007260044989E-5
-21.2849,4.216E-5,-4.628E-5,1.288E-5,-1.486E-5,1.288E-5,-1.394E-5,2.682E-5,-5.70861018E-4,2.68451499999993E-6,-5.72646400284985E-5
-21.2709,4.861E-5,-5.336E-5,1.485E-5,-1.713E-5,1.485E-5,-1.607E-5,3.092E-5,-6.57696228E-4,3.08869499999991E-6,-6.58645407504981E-5
-21.2569,5.604E-5,-6.152E-5,1.712E-5,-1.975E-5,1.712E-5,-1.852E-5,3.564E-5,-7.57595916E-4,3.55461499999989E-6,-7.57715857584976E-5
-21.2419,6.461E-5,-7.092E-5,1.974E-5,-2.277E-5,1.974E-5,-2.135E-5,4.109E-5,-8.72829671E-4,4.13008999999991E-6,-8.79997776609981E-5
-21.2279,7.448E-5,-8.176E-5,2.275E-5,-2.624E-5,2.276E-5,-2.462E-5,4.738E-5,-0.001005777902,4.74937999999988E-6,-1.01150030671998E-4
