,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated Y1,Integrated Y2,Integrated Y3,Integrated Y4,,,,,Integrated Y5,Integrated Y6,Integrated Y7,Integrated Y8,Integrated Y9,Integrated Y10,Integrated Y11,Integrated Y12,,,,,Integrated Y13,Integrated Y14
,s,,py,,pz,,px,,dxy,,dyz,,dz2,,dxz,,dx2-dy2,,t2g,,eg,,t2g_tot,eg_tot,,,"Integrate of X x=(-21.7656,-0.0066) Area = 3.71853","Integrate of Y x=(-21.7656,-0.0066) Area = 3.58675","Integrate of Z x=(-21.7656,-0.0066) Area = -9.30551","Integrate of AA x=(-21.7656,-0.0066) Area = -4.76628",,,,,"Integrate of T x=(-21.7656,-0.0066) Area = 2.21904","Integrate of U x=(-21.7656,-0.0066) Area = -1.49949","Integrate of V x=(-21.7656,-0.0066) Area = 1.82871","Integrate of W x=(-21.7656,-0.0066) Area = -1.75804","Integrate of AF x=(-21.7656,-0.0066) Area = -5.64132","Integrate of AG x=(-21.7656,-0.0066) Area = 3.66419","Integrate of AH x=(-21.7656,-0.0066) Area = -2.84435","Integrate of AI x=(-21.7656,-0.0066) Area = 1.92193",,,,,"Integrate of AT x=(-21.7656,-0.0066) Area = 4.55189","Integrate of AU x=(-21.7656,-0.0066) Area = -6.0015"
-21.7656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.7506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.7366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.7226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.7086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.6936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.6796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.6656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.6506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.6366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.6226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.5936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.5796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.5656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.5506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.5366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.5226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.5086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.4936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.4796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.4656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.4366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.4086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.2796,0,-9.236E-5,0,0,0,0,0,-2.843E-5,0,0,0,0,0,-2.555E-5,0,0,0,-1.37E-6,0,0,0,-2.692E-5,0,2.692E-5,0,-5.72846832E-4,0,1.88440000000039E-7,0,-4.00992782400083E-6,0,0,0,5.72846832E-4,0,0,0,-1.88440000000039E-7,0,0,0,4.00992782400083E-6,0,-2.555E-5,2.555E-5,-5.4369378E-4,1.78850000000037E-7,-3.80585646000079E-6
-21.2656,1.992E-4,-1.107E-4,0,0,0,0,5.935E-5,-3.417E-5,0,0,0,0,5.49E-5,-3.061E-5,0,0,2.85E-6,-1.65E-6,0,0,5.775E-5,-3.226E-5,0,9.001E-5,0,-0.001914116656,0,1.00695E-6,0,-2.141867224E-5,0,0,-0.0012280884,6.86028256E-4,0,0,4.04249999999981E-7,-6.0270000000002E-7,0,0,-8.5966187999996E-6,1.28220534400004E-5,5.49E-5,-3.061E-5,8.551E-5,-0.001818421456,9.56270000000001E-7,-2.0340663112E-5
-21.2516,3.056E-5,-3.115E-5,0,0,0,0,9.11E-6,-9.61E-6,0,0,0,0,8.42E-6,-8.62E-6,0,0,4.4E-7,-4.6E-7,0,0,8.86E-6,-9.08E-6,0,1.794E-5,0,-3.81253704E-4,0,1.76259999999997E-6,0,-3.74862647599993E-5,0,0,-1.88289176E-4,1.92964528E-4,0,0,8.7051999999996E-7,-8.92080000000006E-7,0,0,-1.85112618319991E-5,1.89750029280001E-5,8.42E-6,-8.62E-6,1.704E-5,-3.62127264E-4,1.67411999999997E-6,-3.56045041519993E-5
-21.2366,3.525E-5,-3.592E-5,0,0,0,0,1.05E-5,-1.108E-5,0,0,0,0,9.71E-6,-9.94E-6,0,0,5E-7,-5.3E-7,0,0,1.021E-5,-1.047E-5,0,2.068E-5,0,-4.39172888E-4,0,2.05224999999998E-6,0,-4.36394641999995E-5,0,0,-2.16825686E-4,2.22347202E-4,0,0,1.01354499999996E-6,-1.03870500000001E-6,0,0,-2.15496232969993E-5,2.20898409030003E-5,9.71E-6,-9.94E-6,1.965E-5,-4.1729919E-4,1.94929499999998E-6,-4.14502025569995E-5
-21.2226,4.065E-5,-4.143E-5,0,0,0,0,1.211E-5,-1.278E-5,0,0,0,0,1.12E-5,-1.146E-5,0,0,5.8E-7,-6.2E-7,0,0,1.178E-5,-1.208E-5,0,2.386E-5,0,-5.06371236E-4,0,2.36402999999996E-6,0,-5.02582730679992E-5,0,0,-2.50002228E-4,2.56369008E-4,0,0,1.16747499999996E-6,-1.196555E-6,0,0,-2.48174186949991E-5,2.54408543730001E-5,1.12E-5,-1.146E-5,2.266E-5,-4.80904116E-4,2.24546499999996E-6,-4.77376256989992E-5
-21.2086,4.689E-5,-4.778E-5,0,0,0,0,1.397E-5,-1.473E-5,0,0,0,0,1.292E-5,-1.322E-5,0,0,6.7E-7,-7.1E-7,0,0,1.359E-5,-1.393E-5,0,2.752E-5,0,-5.83660672E-4,0,2.72368999999995E-6,0,-5.78884964239989E-5,0,0,-2.88224874E-4,2.95435798E-4,0,0,1.34506499999995E-6,-1.378625E-6,0,0,-2.85850084089989E-5,2.93034880149999E-5,1.292E-5,-1.322E-5,2.614E-5,-5.54392804E-4,2.58706499999995E-6,-5.49847041389989E-5
-21.1946,5.407E-5,-5.511E-5,0,0,0,0,1.611E-5,-1.699E-5,0,0,0,0,1.49E-5,-1.524E-5,0,0,7.7E-7,-8.2E-7,0,0,1.567E-5,-1.606E-5,0,3.173E-5,0,-6.72504658E-4,0,3.13843999999993E-6,0,-6.66816537339984E-5,0,0,-3.32119382E-4,3.40385276E-4,0,0,1.54988499999994E-6,-1.58855499999999E-6,0,0,-3.29274182009987E-5,3.37542355329997E-5,1.49E-5,-1.524E-5,3.014E-5,-6.38805244E-4,2.98102499999993E-6,-6.33370904749985E-5
-21.1796,6.236E-5,-6.355E-5,0,0,0,0,1.858E-5,-1.96E-5,0,0,0,0,1.719E-5,-1.758E-5,0,0,8.9E-7,-9.4E-7,0,0,1.808E-5,-1.852E-5,0,3.66E-5,0,-7.7517336E-4,0,3.65091499999995E-6,0,-7.75392388689989E-5,0,0,-3.82927168E-4,3.92246192E-4,0,0,1.80300999999995E-6,-1.847905E-6,0,0,-3.82902673259989E-5,3.92489715429999E-5,1.719E-5,-1.758E-5,3.477E-5,-7.36414692E-4,3.46784999999995E-6,-7.36512399949989E-5
-21.1656,7.192E-5,-7.329E-5,0,0,0,0,2.142E-5,-2.26E-5,0,0,0,0,1.982E-5,-2.027E-5,0,0,1.03E-6,-1.09E-6,0,0,2.085E-5,-2.136E-5,0,4.221E-5,0,-8.93399976E-4,0,4.20258499999992E-6,0,-8.92192522209983E-5,0,0,-4.4130276E-4,4.52097216E-4,0,0,2.07551999999994E-6,-2.12706499999998E-6,0,0,-4.40598768219987E-5,4.51593753989996E-5,1.982E-5,-2.027E-5,4.009E-5,-8.48528904E-4,3.99186999999992E-6,-8.47458451669984E-5
-21.1516,8.293E-5,-8.452E-5,0,0,0,0,2.471E-5,-2.606E-5,0,0,0,0,2.286E-5,-2.338E-5,0,0,1.19E-6,-1.26E-6,0,0,2.405E-5,-2.464E-5,0,4.869E-5,0,-0.001029871404,0,4.83888500000005E-6,0,-1.02682151881001E-4,0,0,-5.0869598E-4,5.21175424E-4,0,0,2.38982E-6,-2.44906500000005E-6,0,0,-5.0709868002E-5,5.19722838790011E-5,2.286E-5,-2.338E-5,4.624E-5,-9.78049984E-4,4.59618000000005E-6,-9.75318973830011E-5
-21.1366,9.563E-5,-9.746E-5,0,0,0,0,2.849E-5,-3.005E-5,0,0,0,0,2.636E-5,-2.696E-5,0,0,1.37E-6,-1.45E-6,0,0,2.773E-5,-2.841E-5,0,5.614E-5,0,-0.001186608724,0,5.6251099999999E-6,0,-1.19305752840998E-4,0,0,-5.86117918E-4,6.00490806E-4,0,0,2.77816999999992E-6,-2.84693999999997E-6,0,0,-5.89209722369984E-5,6.03847806039994E-5,2.636E-5,-2.696E-5,5.332E-5,-0.001127003512,5.3428799999999E-6,-1.13319798602998E-4
-21.1226,1.103E-4,-1.124E-4,0,0,0,0,3.285E-5,-3.465E-5,0,0,0,0,3.039E-5,-3.109E-5,0,0,1.58E-6,-1.67E-6,0,0,3.197E-5,-3.276E-5,0,6.473E-5,0,-0.001367265898,0,6.47120000000007E-6,0,-1.37182875195002E-4,0,0,-6.75289522E-4,6.91976376E-4,0,0,3.19607000000001E-6,-3.27513000000006E-6,0,0,-6.77508243170002E-5,6.94320508780013E-5,3.039E-5,-3.109E-5,6.148E-5,-0.001298617448,6.14648000000007E-6,-1.30299145323001E-4
